98002,1
98251,2
98047,3
98032,4
98003,5
98188,6
98168,7
98030,8
98354,9
98148,10
98031,11
98055,12
98198,13
98001,14
98023,15
98422,16
98022,17
98058,18
98057,19
98092,20
98178,21
98042,22
98106,23
98146,24
98108,25
98038,26
98010,27
98051,28
98056,29
98133,30
98118,31
98045,32
98155,33
98019,34
98059,35
98166,36
98125,37
98034,38
98070,39
98126,40
98011,41
98065,42
98104,43
98014,44
98028,45
98007,46
98029,47
98024,48
98072,49
98144,50
98027,51
98122,52
98121,53
98101,54
98134,55
98116,56
98008,57
98052,58
98107,59
98109,60
98103,61
98117,62
98102,63
98136,64
98115,65
98177,66
98053,67
98074,68
98077,69
98033,70
98105,71
98005,72
98199,73
98119,74
98075,75
98006,76
98112,77
98004,78
98040,79
98039,80
